condition,curvature,weighting,loss_aversion,inverse_temperature,label_bias,fit_rmse,converged,boundary_parameters,label_gap,min_answer_mass,layer,answer_mass_below_0_95_count,max_relative_norm_error,requested_norm,scale_family,cosine_readout,cosine_persona,planted_probability_rmse,cpt_predictive_rmse,action_predictive_rmse
loss_aversion_only_sae_preference_k1_sign-1,0.5040228584084242,1.5,0.3,9.538069074971759,-1.3279385972129019,0.30215095242237167,True,"weighting,loss_aversion",0.24887272497557594,0.43795883655548096,50,36,0.0006445646286010742,1.0,common_norm,-0.015716178342700005,0.007819034159183502,,0.3161433827404802,0.009431403036667816
loss_aversion_only_sae_preference_k3_fitted_magnitude,0.5010116018626897,1.5,0.3,9.47953571204917,-1.2938788346708872,0.30095272735683154,True,"weighting,loss_aversion",0.24822263276508683,0.7776328325271606,50,14,0.0009759240880531372,1.3127477169036865,discovery_fitted_magnitude,0.01414778083562851,0.028619272634387016,0.4241575947505125,0.3148122650547259,0.024638412903602212
loss_aversion_only_sae_preference_k3_sign+1,0.5017834957718255,1.5,0.3,9.515996970746283,-1.300325867693492,0.3014449299358825,True,"weighting,loss_aversion",0.2467503229902151,0.7313186526298523,50,16,0.0015680788078213936,1.0,common_norm,0.01414778083562851,0.028619272634387016,0.42405308503866834,0.31558546343754024,0.018626270226606515
loss_aversion_only_sae_preference_k3_sign-1,0.5070399232123324,1.5,0.3,9.485874957932362,-1.267952853320602,0.3032073656931786,True,"weighting,loss_aversion",0.2400036138526724,0.17217972874641418,50,48,0.0016092060078136683,1.0,common_norm,0.01414778083562851,0.028619272634387016,,0.3173557823536231,0.021144246634955087
persona_contrast_l48_sign+1,0.5047421698332352,1.478922726056538,0.3,9.466748245923197,-1.2640448406949014,0.3030629382137691,True,loss_aversion,0.24172016099422283,0.4102018177509308,48,36,0.0006732940673828125,1.0,common_norm,0.035999879240989685,0.9999999403953552,,0.3161699043925447,0.019906446249327185
persona_contrast_l48_sign-1,0.5000848253231519,1.5,0.3,9.472787999836232,-1.313875418162746,0.30304456679097797,True,"weighting,loss_aversion",0.24738741042167597,0.5807705521583557,48,28,0.001051187515258789,1.0,common_norm,0.035999879240989685,0.9999999403953552,,0.3182608746980048,0.01741001433434466
persona_contrast_l50_sign+1,0.5057662987709682,1.4815270645881553,0.3,9.414569237145248,-1.2498680078331919,0.3031858584564218,True,loss_aversion,0.24057344378747061,0.42269018292427063,50,36,0.0007002949714660645,1.0,common_norm,0.033169783651828766,1.0,,0.3163348248466237,0.023032911224650385
persona_contrast_l50_sign-1,0.5005753111324217,1.5,0.3,9.553805651689203,-1.324920565412823,0.3023684969675075,True,"weighting,loss_aversion",0.24774358442530314,0.6163488030433655,50,27,0.0006679892539978027,1.0,common_norm,0.033169783651828766,1.0,,0.3173633006837385,0.016487323969016317
prompt_risk_averse,0.6062005895967044,0.7713921667957094,4.0,0.5830176176622083,-0.28153893033562283,0.4698022379299769,True,loss_aversion,0.10281525809439558,0.9999982714653015,,0,,,,,,,0.48025051065794344,0.4311872455965542
prompt_risk_seeking,1.1478507453791897,0.6316801639024292,0.3,1.7435161520806008,9.018300237172799e-05,0.4579530145542055,True,loss_aversion,0.051951560872023746,0.9999962449073792,,0,,,,,,,0.46231232008972606,0.05060116182648598
