feature,scope,sign,target,cosine_to_readout,discovery_ce,discovery_teacher_rmse,min_answer_mass
39254,all,-1,combined,-0.016318731009960175,4.088271792215095,0.41180431897019354,0.0004552712489385158
39254,all,-1,neutral,-0.016318731009960175,4.12148151579339,0.3940945500143685,0.0004552712489385158
39254,all,1,combined,-0.016318731009960175,2.261882629480253,0.33395974600623973,0.9999982118606567
39254,all,1,neutral,-0.016318731009960175,2.390971180555576,0.3399786478258112,0.9999982118606567
33404,all,-1,combined,0.05265919491648674,2.3310873038478754,0.30892379843157025,0.04671575501561165
33404,all,-1,neutral,0.05265919491648674,2.3712093938506906,0.30788019119618976,0.04671575501561165
33404,all,1,combined,0.05265919491648674,0.710040671767604,0.23947066852973634,0.9953156113624573
33404,all,1,neutral,0.05265919491648674,0.7317564619831033,0.2220989909872764,0.9953156113624573
60415,all,-1,combined,0.056993789970874786,3.102292630634762,0.4049477086516005,0.9984577894210815
60415,all,-1,neutral,0.056993789970874786,3.1982689322368305,0.3886633109745455,0.9984577894210815
60415,all,1,combined,0.056993789970874786,0.6207860952602126,0.24600444537011115,0.998715877532959
60415,all,1,neutral,0.056993789970874786,0.6352068408286603,0.22497872145202844,0.998715877532959
55159,all,-1,combined,-0.011667696759104729,6.506472132245893,0.27651684147668343,0.00014931107580196112
55159,all,-1,neutral,-0.011667696759104729,6.483898661427897,0.24060079689360694,0.00014931107580196112
55159,all,1,combined,-0.011667696759104729,1.244496093763857,0.3790936852295578,0.9999567270278931
55159,all,1,neutral,-0.011667696759104729,1.2768097507577947,0.3672774566997376,0.9999567270278931
30498,all,-1,combined,0.026709500700235367,3.8370949803137226,0.43347215449496057,0.9999982118606567
30498,all,-1,neutral,0.026709500700235367,3.975733088149923,0.4226440262916162,0.9999982118606567
30498,all,1,combined,0.026709500700235367,0.6001060672836098,0.22296254264346663,0.9979470372200012
30498,all,1,neutral,0.026709500700235367,0.613289679456492,0.19842509268391706,0.9979470372200012
7107,all,-1,combined,0.050126925110816956,3.7901204616109703,0.3557621452140858,0.9997957348823547
7107,all,-1,neutral,0.050126925110816956,4.084989689481374,0.35844135444533687,0.9997957348823547
7107,all,1,combined,0.050126925110816956,0.9467525633908855,0.37722355812002106,0.9218576550483704
7107,all,1,neutral,0.050126925110816956,0.9564899454822693,0.3562940241245757,0.9218576550483704
18729,all,-1,combined,-0.0017486745491623878,2.499451274681885,0.44049464594970156,0.9999934434890747
18729,all,-1,neutral,-0.0017486745491623878,2.5482995228851135,0.4266447338665193,0.9999934434890747
18729,all,1,combined,-0.0017486745491623878,3.197375707359014,0.5850615770428389,0.9999619126319885
18729,all,1,neutral,-0.0017486745491623878,3.2306483553767618,0.5706587569611306,0.9999619126319885
54533,all,-1,combined,0.0465414896607399,1.8518812067860677,0.34939485684856564,0.9998448491096497
54533,all,-1,neutral,0.0465414896607399,1.9523148084424267,0.34616759894893356,0.9998448491096497
54533,all,1,combined,0.0465414896607399,0.8617342503009497,0.2668089851444771,0.9858627319335938
54533,all,1,neutral,0.0465414896607399,0.8863423729522008,0.2503640273849317,0.9858627319335938
17502,all,-1,combined,0.09051515907049179,4.498682774375915,0.3704104564838571,0.9999982714653015
17502,all,-1,neutral,0.09051515907049179,4.795310575105412,0.37490043386586797,0.9999982714653015
17502,all,1,combined,0.09051515907049179,1.01526910425306,0.2263157703896903,0.5864924192428589
17502,all,1,neutral,0.09051515907049179,1.0238927030742395,0.19664831612236988,0.5864924192428589
19103,all,-1,combined,0.0033560318406671286,1.2962531010716642,0.39925894452932675,0.9998734593391418
19103,all,-1,neutral,0.0033560318406671286,1.3256912292608083,0.3850164414732485,0.9998734593391418
19103,all,1,combined,0.0033560318406671286,1.0189718921769977,0.2715950651084993,0.8221669793128967
19103,all,1,neutral,0.0033560318406671286,1.0593322871482085,0.26816225362025825,0.8221669793128967
58814,all,-1,combined,0.013265285640954971,1.908983883601159,0.39233426361626855,0.9999979734420776
58814,all,-1,neutral,0.013265285640954971,1.9677301945096601,0.38291452932931125,0.9999979734420776
58814,all,1,combined,0.013265285640954971,1.8795102639240369,0.4452224468075761,0.9992252588272095
58814,all,1,neutral,0.013265285640954971,1.934247569423566,0.42888013098040517,0.9992252588272095
52200,all,-1,combined,0.11000661551952362,4.609127828261604,0.43088745574032683,0.9999234080314636
52200,all,-1,neutral,0.11000661551952362,4.705592877053842,0.411329461147795,0.9999234080314636
52200,all,1,combined,0.11000661551952362,0.9436078358451405,0.34807747269214284,0.6330317854881287
52200,all,1,neutral,0.11000661551952362,0.946430169652266,0.3199891378871935,0.6330317854881287
13835,all,-1,combined,0.020046690478920937,3.9768521962532284,0.3271951569975602,0.0004376361903268844
13835,all,-1,neutral,0.020046690478920937,4.086407022120921,0.327365492159372,0.0004376361903268844
13835,all,1,combined,0.020046690478920937,13.845416006588515,0.22371626560360075,3.711685963025957e-07
